Batch ID,BatchType,Time (h),Temperature(T:K),pH(pH:pH),Dissolved oxygen concentration(DO2:mg/L),Agitator RPM(RPM:RPM),carbon dioxide percent in off-gas(CO2outgas:%),Oxygen in percent in off-gas(O2:O2  (%)),Vessel Volume(V:L),Sugar feed rate(Fs:L/h),Penicillin concentration(P:g/L)
2.0,Recipe driven approach,9.2,298.12,6.5066,12.846,100,0.23489,0.1967,58323,15,0.00097492
2.0,Recipe driven approach,9.4,298.13,6.5064,12.766,100,0.24158,0.19633,58330,15,0.00097429
2.0,Recipe driven approach,9.6,298.15,6.4993,12.676,100,0.2485,0.19587,58337,15,0.00097366
2.0,Recipe driven approach,9.8,298.15,6.4917,12.58,100,0.25566,0.19538,58344,15,0.00097304
2.0,Recipe driven approach,10.0,298.16,6.4855,12.482,100,0.26306,0.19486,58352,15,0.0009724
2.0,Recipe driven approach,10.2,298.16,6.4825,12.384,100,0.27071,0.19435,58361,15,0.00097174
2.0,Recipe driven approach,10.4,298.17,6.4812,12.294,100,0.27861,0.19394,58372,15,0.00097105
2.0,Recipe driven approach,10.6,298.19,6.4844,12.201,100,0.28677,0.19351,58384,15,0.00097034
2.0,Recipe driven approach,10.8,298.2,6.487,12.116,100,0.29519,0.19319,58397,15,0.00096961
2.0,Recipe driven approach,11.0,298.22,6.4899,11.998,100,0.3039,0.19265,58412,15,0.00096886
2.0,Recipe driven approach,11.2,298.23,6.4916,11.888,100,0.31289,0.1921,58427,15,0.00096809
2.0,Recipe driven approach,11.4,298.24,6.4919,11.773,100,0.32216,0.1915,58444,15,0.00096731
2.0,Recipe driven approach,11.6,298.26,6.4903,11.688,100,0.33166,0.19111,58461,15,0.00096652
2.0,Recipe driven approach,11.8,298.27,6.491,11.598,100,0.34139,0.19072,58479,15,0.00096571
2.0,Recipe driven approach,12.0,298.27,6.49,11.485,100,0.35139,0.19014,58498,15,0.0009649
2.0,Recipe driven approach,12.2,298.25,6.4894,11.429,100,0.36157,0.18974,58520,30,0.00096401
2.0,Recipe driven approach,12.4,298.19,6.4923,11.551,100,0.37174,0.18991,58544,30,0.00096312
2.0,Recipe driven approach,12.6,298.09,6.5108,13.152,100,0.38098,0.1923,58568,30,0.00096221
2.0,Recipe driven approach,12.8,297.97,6.5385,13.269,100,0.38823,0.19462,58592,30,0.00096133
2.0,Recipe driven approach,13.0,297.88,6.5578,13.229,100,0.3949,0.1949,58613,30,0.0009605
2.0,Recipe driven approach,13.2,298.75,6.5473,13.181,100,0.40151,0.19475,58623,30,0.00095982
2.0,Recipe driven approach,13.4,298.56,6.522,13.172,100,0.40811,0.19479,58630,30,0.00095919
2.0,Recipe driven approach,13.6,298.35,6.4924,13.152,100,0.4147,0.1948,58635,30,0.0009586
2.0,Recipe driven approach,13.8,298.19,6.4663,13.119,100,0.4213,0.19471,58641,30,0.00095799
2.0,Recipe driven approach,14.0,298.1,6.4522,13.11,100,0.42791,0.19471,58650,30,0.00095735
2.0,Recipe driven approach,14.2,298.06,6.4497,13.123,100,0.43449,0.19487,58663,30,0.00095664
2.0,Recipe driven approach,14.4,298.03,6.4565,13.14,100,0.441,0.19504,58680,30,0.00095586
2.0,Recipe driven approach,14.6,298.02,6.4743,13.136,100,0.44747,0.19511,58700,30,0.00095503
2.0,Recipe driven approach,14.8,298.02,6.4923,13.106,100,0.45392,0.19497,58723,30,0.00095417
2.0,Recipe driven approach,15.0,298.02,6.5086,13.091,100,0.46037,0.19495,58746,30,0.0009533
2.0,Recipe driven approach,15.2,298.04,6.5218,13.07,100,0.46683,0.19493,58769,30,0.00095244
2.0,Recipe driven approach,15.4,298.05,6.5316,13.066,100,0.47327,0.19503,58790,30,0.00095161
2.0,Recipe driven approach,15.6,298.07,6.5385,13.025,100,0.47972,0.19488,58809,30,0.00095083
2.0,Recipe driven approach,15.8,298.07,6.5388,13.01,100,0.48618,0.19487,58824,30,0.0009501
2.0,Recipe driven approach,16.0,298.07,6.5304,12.981,100,0.49261,0.19479,58837,30,0.00094944
2.0,Recipe driven approach,16.2,298.16,6.4923,11.763,100,0.50065,0.1904,58856,75,0.00094863
2.0,Recipe driven approach,16.4,298.24,6.4559,11.668,100,0.51046,0.1889,58876,75,0.00094781
2.0,Recipe driven approach,16.6,298.29,6.4318,11.648,100,0.5206,0.1886,58900,75,0.00094693
2.0,Recipe driven approach,16.8,298.31,6.4241,11.625,100,0.53079,0.18849,58929,75,0.00094595
2.0,Recipe driven approach,17.0,298.31,6.4319,11.626,100,0.54095,0.18849,58965,75,0.00094488
2.0,Recipe driven approach,17.2,298.29,6.4464,11.572,100,0.55112,0.18835,59006,75,0.00094372
2.0,Recipe driven approach,17.4,298.24,6.4607,11.552,100,0.56136,0.18835,59051,75,0.0009425
2.0,Recipe driven approach,17.6,298.22,6.4755,11.518,100,0.57165,0.18815,59100,75,0.00094123
2.0,Recipe driven approach,17.8,298.23,6.4892,11.503,100,0.5819,0.18809,59150,75,0.00093993
2.0,Recipe driven approach,18.0,298.26,6.5024,11.483,100,0.59214,0.18803,59202,75,0.00093861
2.0,Recipe driven approach,18.2,298.29,6.5137,11.462,100,0.60232,0.18794,59253,75,0.0009373
2.0,Recipe driven approach,18.4,298.3,6.5232,11.437,100,0.61248,0.18784,59304,75,0.00093601
2.0,Recipe driven approach,18.6,298.28,6.5307,11.393,100,0.62263,0.18777,59352,75,0.00093476
2.0,Recipe driven approach,18.8,298.24,6.5336,11.405,100,0.63276,0.18785,59399,75,0.00093354
2.0,Recipe driven approach,19.0,298.23,6.5331,11.387,100,0.64281,0.18792,59443,75,0.00093236
2.0,Recipe driven approach,19.2,298.23,6.5286,11.326,100,0.65285,0.18768,59484,75,0.00093123
2.0,Recipe driven approach,19.4,298.23,6.5194,11.294,100,0.66289,0.18755,59523,75,0.00093013
2.0,Recipe driven approach,19.6,298.22,6.5111,11.271,100,0.67292,0.18756,59560,75,0.00092906
2.0,Recipe driven approach,19.8,298.19,6.5062,11.26,100,0.68291,0.18752,59597,75,0.000928
2.0,Recipe driven approach,20.0,298.16,6.4975,11.222,100,0.69286,0.18742,59634,75,0.00092695
2.0,Recipe driven approach,20.2,298.23,6.4653,10.324,100,0.55632,0.18831,59685,150,0.00092566
2.0,Recipe driven approach,20.4,298.35,6.4348,10.177,100,0.55804,0.18756,59740,150,0.00092432
2.0,Recipe driven approach,20.6,298.44,6.4173,10.105,100,0.5684,0.18728,59800,150,0.0009229
2.0,Recipe driven approach,20.8,298.47,6.4065,10.061,100,0.57937,0.18703,59867,150,0.00092137
2.0,Recipe driven approach,21.0,298.47,6.397,10.073,100,0.59037,0.18714,59936,150,0.0009198
2.0,Recipe driven approach,21.2,298.42,6.3901,10.006,100,0.60139,0.18694,60005,150,0.00091824
2.0,Recipe driven approach,21.4,298.33,6.3773,9.9124,100,0.61249,0.18655,60075,150,0.00091669
2.0,Recipe driven approach,21.6,298.26,6.3674,9.8737,100,0.62363,0.18642,60144,150,0.00091513
2.0,Recipe driven approach,21.8,298.17,6.3585,9.804,100,0.63484,0.18626,60214,150,0.00091359
2.0,Recipe driven approach,22.0,298.12,6.346,9.7312,100,0.64611,0.18596,60283,150,0.00091204
2.0,Recipe driven approach,22.2,298.1,6.3345,9.6509,100,0.65746,0.18572,60353,150,0.00091051
2.0,Recipe driven approach,22.4,298.12,6.3296,9.5299,100,0.66894,0.18535,60422,150,0.00090897
2.0,Recipe driven approach,22.6,298.1,6.332,9.4661,100,0.68054,0.18506,60492,150,0.00090744
2.0,Recipe driven approach,22.8,298.09,6.3349,9.357,100,0.69222,0.18465,60561,150,0.00090591
2.0,Recipe driven approach,23.0,298.08,6.3401,9.3853,100,0.70389,0.18469,60631,150,0.00090439
2.0,Recipe driven approach,23.2,298.05,6.3441,9.3497,100,0.71549,0.18462,60700,150,0.00090287
2.0,Recipe driven approach,23.4,297.99,6.3491,9.2821,100,0.72712,0.18439,60769,150,0.00090136
2.0,Recipe driven approach,23.6,297.94,6.3549,9.1988,100,0.73881,0.1841,60839,150,0.00089986
2.0,Recipe driven approach,23.8,299.87,6.3613,9.1996,100,0.75054,0.1842,60908,150,0.00089833
2.0,Recipe driven approach,24.0,299.53,6.3685,9.1854,100,0.7622,0.18423,60977,150,0.00089678
2.0,Recipe driven approach,24.2,298.93,6.4082,12.203,100,0.76952,0.19378,61022,30,0.021231
2.0,Recipe driven approach,24.4,298.47,6.4473,12.181,100,0.77396,0.19489,61067,30,0.045669
2.0,Recipe driven approach,24.6,298.14,6.4835,12.181,100,0.7782,0.19504,61113,30,0.070577
2.0,Recipe driven approach,24.8,297.92,6.5153,12.167,100,0.78237,0.19498,61158,30,0.095984
2.0,Recipe driven approach,25.0,299.2,6.5427,12.118,100,0.78658,0.19487,61202,30,0.12085
2.0,Recipe driven approach,25.2,298.88,6.5663,12.919,100,0.79081,0.19478,61243,30,0.14535
2.0,Recipe driven approach,25.4,298.54,6.5641,12.78,100,0.79505,0.19442,61264,30,0.17034
2.0,Recipe driven approach,25.6,298.27,6.5358,12.707,100,0.79925,0.19412,61274,30,0.19615
2.0,Recipe driven approach,25.8,298.08,6.5042,12.66,100,0.80342,0.19392,61282,30,0.22242
2.0,Recipe driven approach,26.0,297.96,6.4738,12.632,100,0.8076,0.19389,61290,30,0.24882
2.0,Recipe driven approach,26.2,297.88,6.4541,12.623,100,0.81179,0.19394,61299,30,0.27549
2.0,Recipe driven approach,26.4,298.77,6.4464,12.635,100,0.81597,0.19403,61313,30,0.3025
2.0,Recipe driven approach,26.6,298.54,6.4501,12.672,100,0.82009,0.19419,61331,30,0.33012
2.0,Recipe driven approach,26.8,298.32,6.4617,12.682,100,0.82417,0.19425,61353,30,0.35806
2.0,Recipe driven approach,27.0,298.17,6.475,12.694,100,0.82822,0.19434,61378,30,0.38656
2.0,Recipe driven approach,27.2,298.07,6.4878,12.703,100,0.83223,0.19442,61405,30,0.41526
2.0,Recipe driven approach,27.4,298.02,6.5058,12.697,100,0.83621,0.19438,61433,30,0.44419
2.0,Recipe driven approach,27.6,297.98,6.523,12.681,100,0.84017,0.19437,61461,30,0.47336
2.0,Recipe driven approach,27.8,297.94,6.5355,12.649,100,0.84414,0.19435,61488,30,0.50271
2.0,Recipe driven approach,28.0,298.61,6.5438,12.616,100,0.8481,0.1943,61511,30,0.53243
2.0,Recipe driven approach,28.2,298.51,6.5371,12.367,100,0.85238,0.19362,61532,37,0.55816
2.0,Recipe driven approach,28.4,298.39,6.5215,12.323,100,0.85684,0.19339,61551,37,0.58448
2.0,Recipe driven approach,28.6,298.29,6.5026,12.295,100,0.86128,0.19327,61568,37,0.61143
2.0,Recipe driven approach,28.8,298.2,6.4856,12.263,100,0.86572,0.19319,61585,37,0.63897
2.0,Recipe driven approach,29.0,298.11,6.4737,12.268,100,0.87013,0.19327,61603,37,0.66695
2.0,Recipe driven approach,29.2,298.05,6.4664,12.262,100,0.87452,0.19325,61623,37,0.69534
2.0,Recipe driven approach,29.4,298.01,6.4641,12.24,100,0.8789,0.19316,61647,37,0.72404
2.0,Recipe driven approach,29.6,297.98,6.4702,12.248,100,0.88327,0.19317,61673,37,0.753
2.0,Recipe driven approach,29.8,297.96,6.4756,12.242,100,0.88762,0.19315,61701,37,0.78203
2.0,Recipe driven approach,30.0,297.95,6.4865,12.227,100,0.89197,0.19308,61732,37,0.81113
2.0,Recipe driven approach,30.2,298.51,6.5002,13.021,100,0.89634,0.19285,61764,37,0.83975
2.0,Recipe driven approach,30.4,298.44,6.5114,12.997,100,0.90073,0.19285,61796,37,0.86816
2.0,Recipe driven approach,30.6,298.32,6.5181,12.976,100,0.90511,0.19279,61827,37,0.89698
2.0,Recipe driven approach,30.8,298.22,6.5204,12.96,100,0.90947,0.19278,61857,37,0.92622
2.0,Recipe driven approach,31.0,298.15,6.5139,12.946,100,0.9138,0.19283,61885,37,0.95586
2.0,Recipe driven approach,31.2,298.1,6.5163,12.933,100,0.9181,0.19284,61912,37,0.98592
2.0,Recipe driven approach,31.4,298.07,6.5152,12.92,100,0.92236,0.19281,61938,37,1.0164
2.0,Recipe driven approach,31.6,298.05,6.5095,12.895,100,0.9266,0.19277,61963,37,1.047
2.0,Recipe driven approach,31.8,298.04,6.5102,12.887,100,0.93081,0.19275,61987,37,1.0779
2.0,Recipe driven approach,32.0,298.02,6.5082,12.896,100,0.93494,0.19279,62011,37,1.1096
2.0,Recipe driven approach,32.2,298.01,6.4988,12.678,100,0.93933,0.1922,62035,43,1.1383
2.0,Recipe driven approach,32.4,298.0,6.4888,12.669,100,0.94385,0.19212,62060,43,1.1674
2.0,Recipe driven approach,32.6,298.0,6.4841,12.684,100,0.94832,0.19221,62085,43,1.1974
2.0,Recipe driven approach,32.8,298.0,6.4802,12.689,100,0.95275,0.19225,62112,43,1.2281
2.0,Recipe driven approach,33.0,297.99,6.4769,12.681,100,0.95713,0.19216,62140,43,1.2594
2.0,Recipe driven approach,33.2,298.0,6.476,12.654,100,0.96151,0.19208,62171,43,1.2906
2.0,Recipe driven approach,33.4,298.0,6.4775,12.642,100,0.96592,0.19207,62203,43,1.3217
2.0,Recipe driven approach,33.6,298.01,6.4843,12.631,100,0.97033,0.19201,62238,43,1.3532
2.0,Recipe driven approach,33.8,298.01,6.4946,12.617,100,0.97473,0.19197,62273,43,1.3849
2.0,Recipe driven approach,34.0,298.02,6.5082,12.616,100,0.97911,0.19198,62310,43,1.4171
2.0,Recipe driven approach,34.2,298.02,6.5208,12.575,100,0.98347,0.19179,62345,43,1.4497
2.0,Recipe driven approach,34.4,298.03,6.5303,12.551,100,0.98782,0.19177,62379,43,1.4825
2.0,Recipe driven approach,34.6,298.03,6.5384,12.483,100,0.99219,0.19154,62411,43,1.5153
2.0,Recipe driven approach,34.8,298.03,6.542,12.44,100,0.99655,0.19135,62440,43,1.5486
2.0,Recipe driven approach,35.0,298.02,6.5388,12.406,100,1.0009,0.19124,62466,43,1.5825
2.0,Recipe driven approach,35.2,298.03,6.5294,12.357,100,1.0052,0.1911,62488,43,1.6167
2.0,Recipe driven approach,35.4,298.02,6.5159,12.3,100,1.0095,0.19096,62508,43,1.6508
2.0,Recipe driven approach,35.6,298.01,6.5035,12.253,100,1.0138,0.19072,62528,43,1.6852
2.0,Recipe driven approach,35.8,298.01,6.4921,12.271,100,1.0181,0.1908,62547,43,1.7202
2.0,Recipe driven approach,36.0,298.0,6.4844,12.263,100,1.0223,0.19078,62566,43,1.7558
2.0,Recipe driven approach,36.2,298.01,6.4821,12.111,100,1.0267,0.19043,62588,47,1.7895
2.0,Recipe driven approach,36.4,298.01,6.4838,12.13,100,1.0312,0.19049,62612,47,1.8237
2.0,Recipe driven approach,36.6,298.01,6.486,12.144,100,1.0356,0.19054,62636,47,1.8588
2.0,Recipe driven approach,36.8,298.01,6.4883,12.123,100,1.04,0.19047,62662,47,1.894
2.0,Recipe driven approach,37.0,298.01,6.4957,12.103,100,1.0444,0.19039,62689,47,1.9294
2.0,Recipe driven approach,37.2,298.0,6.5055,12.073,100,1.0488,0.19031,62717,47,1.9648
2.0,Recipe driven approach,37.4,298.0,6.514,12.073,100,1.0532,0.19033,62744,47,2.0007
2.0,Recipe driven approach,37.6,297.99,6.5236,12.016,100,1.0576,0.1902,62770,47,2.0364
2.0,Recipe driven approach,37.8,298.0,6.5299,11.962,100,1.0621,0.19007,62794,47,2.0722
2.0,Recipe driven approach,38.0,298.01,6.532,11.93,100,1.0665,0.18998,62817,47,2.1086
2.0,Recipe driven approach,38.2,298.01,6.5245,11.863,100,1.0709,0.18976,62836,47,2.1451
2.0,Recipe driven approach,38.4,298.01,6.5137,11.822,100,1.0754,0.1897,62854,47,2.1819
2.0,Recipe driven approach,38.6,298.01,6.4999,11.78,100,1.0799,0.18963,62871,47,2.2188
2.0,Recipe driven approach,38.8,298.01,6.4868,11.757,100,1.0843,0.18955,62887,47,2.2561
2.0,Recipe driven approach,39.0,298.01,6.485,11.778,100,1.0887,0.18965,62905,47,2.2936
2.0,Recipe driven approach,39.2,298.0,6.4877,11.741,100,1.0932,0.18965,62925,47,2.3313
2.0,Recipe driven approach,39.4,297.99,6.494,11.717,100,1.0976,0.18957,62945,47,2.3688
2.0,Recipe driven approach,39.6,297.99,6.504,11.716,100,1.1021,0.18955,62966,47,2.4066
2.0,Recipe driven approach,39.8,297.99,6.5154,11.742,100,1.1065,0.18969,62987,47,2.4449
2.0,Recipe driven approach,40.0,297.98,6.5244,11.717,100,1.1108,0.18968,63007,47,2.4834
2.0,Recipe driven approach,40.2,297.99,6.5264,13.364,100,1.0303,0.19055,63027,51,2.5204
2.0,Recipe driven approach,40.4,298.0,6.5203,13.336,100,1.0298,0.19072,63046,51,2.5575
2.0,Recipe driven approach,40.6,297.99,6.5059,13.259,100,1.0338,0.19052,63063,51,2.5945
2.0,Recipe driven approach,40.8,298.0,6.4914,13.246,100,1.038,0.19057,63080,51,2.632
2.0,Recipe driven approach,41.0,298.0,6.4805,13.257,100,1.0423,0.19062,63097,51,2.6701
2.0,Recipe driven approach,41.2,298.01,6.4743,13.217,100,1.0465,0.19056,63116,51,2.7078
2.0,Recipe driven approach,41.4,298.02,6.4758,13.213,100,1.0508,0.19058,63138,51,2.7454
2.0,Recipe driven approach,41.6,298.02,6.484,13.225,100,1.0551,0.19061,63161,51,2.7834
2.0,Recipe driven approach,41.8,298.02,6.496,13.249,100,1.0593,0.19067,63186,51,2.822
2.0,Recipe driven approach,42.0,298.02,6.5042,13.287,100,1.0634,0.19093,63211,51,2.8613
2.0,Recipe driven approach,42.2,298.01,6.511,13.249,100,1.0675,0.19081,63236,51,2.9006
2.0,Recipe driven approach,42.4,298.01,6.5138,13.217,100,1.0717,0.1908,63260,51,2.9401
2.0,Recipe driven approach,42.6,298.01,6.5152,13.189,100,1.0758,0.19072,63283,51,2.9797
2.0,Recipe driven approach,42.8,298.02,6.5129,13.116,100,1.08,0.19056,63305,51,3.0194
2.0,Recipe driven approach,43.0,298.02,6.5064,13.056,100,1.0842,0.1904,63326,51,3.0591
2.0,Recipe driven approach,43.2,298.02,6.4976,13.031,100,1.0884,0.19027,63347,51,3.0995
2.0,Recipe driven approach,43.4,298.01,6.4887,13.019,100,1.0926,0.19035,63368,51,3.1399
2.0,Recipe driven approach,43.6,297.99,6.4845,13.032,100,1.0968,0.19042,63390,51,3.1807
2.0,Recipe driven approach,43.8,297.98,6.4835,12.987,100,1.101,0.19029,63413,51,3.221
2.0,Recipe driven approach,44.0,297.97,6.485,13.004,100,1.1051,0.19035,63438,51,3.2618
2.0,Recipe driven approach,44.2,297.98,6.4837,12.745,100,1.1096,0.1897,63465,57,3.2984
2.0,Recipe driven approach,44.4,297.99,6.492,12.749,100,1.1143,0.18968,63494,57,3.3358
2.0,Recipe driven approach,44.6,298.0,6.5006,12.756,100,1.1189,0.18974,63523,57,3.3741
2.0,Recipe driven approach,44.8,298.01,6.5056,12.763,100,1.1234,0.18992,63552,57,3.413
2.0,Recipe driven approach,45.0,298.02,6.5083,12.76,100,1.128,0.18996,63582,57,3.4528
2.0,Recipe driven approach,45.2,298.03,6.5124,12.772,100,1.1324,0.19003,63610,57,3.4937
2.0,Recipe driven approach,45.4,298.05,6.517,12.746,100,1.1369,0.19,63638,57,3.5353
2.0,Recipe driven approach,45.6,298.05,6.5172,12.731,100,1.1412,0.18994,63664,57,3.5777
2.0,Recipe driven approach,45.8,298.05,6.5164,12.712,100,1.1456,0.18991,63689,57,3.6207
2.0,Recipe driven approach,46.0,298.03,6.5127,12.659,100,1.1499,0.1898,63713,57,3.6639
2.0,Recipe driven approach,46.2,298.02,6.5081,12.615,100,1.1542,0.1897,63736,57,3.7075
2.0,Recipe driven approach,46.4,298.0,6.5008,12.552,100,1.1586,0.18949,63759,57,3.751
2.0,Recipe driven approach,46.6,297.98,6.4963,12.542,100,1.163,0.18945,63781,57,3.7951
2.0,Recipe driven approach,46.8,297.97,6.4913,12.572,100,1.1673,0.18966,63804,57,3.8398
2.0,Recipe driven approach,47.0,297.95,6.4891,12.591,100,1.1716,0.18974,63828,57,3.8854
2.0,Recipe driven approach,47.2,298.51,6.4911,12.588,100,1.1758,0.18982,63852,57,3.9313
2.0,Recipe driven approach,47.4,298.38,6.4944,12.58,100,1.18,0.18983,63878,57,3.9771
2.0,Recipe driven approach,47.6,298.25,6.4969,12.596,100,1.1842,0.18997,63903,57,4.0231
2.0,Recipe driven approach,47.8,298.17,6.5018,12.607,100,1.1883,0.18996,63930,57,4.0697
2.0,Recipe driven approach,48.0,298.13,6.5063,12.603,100,1.1924,0.19007,63956,57,4.1167
2.0,Recipe driven approach,48.2,298.12,6.5086,12.448,100,1.1967,0.18967,63983,61,4.1625
2.0,Recipe driven approach,48.4,298.09,6.511,12.402,100,1.201,0.18953,64009,61,4.2086
2.0,Recipe driven approach,48.6,298.07,6.5109,12.382,100,1.2054,0.18952,64034,61,4.2547
2.0,Recipe driven approach,48.8,298.05,6.5095,12.408,100,1.2096,0.18957,64059,61,4.3016
2.0,Recipe driven approach,49.0,298.04,6.5073,12.379,100,1.2138,0.1895,64083,61,4.3489
2.0,Recipe driven approach,49.2,298.03,6.503,12.312,100,1.218,0.18927,64106,61,4.3961
2.0,Recipe driven approach,49.4,298.01,6.5018,12.301,100,1.2223,0.18919,64129,61,4.4435
2.0,Recipe driven approach,49.6,298.0,6.4989,12.296,100,1.2264,0.18916,64153,61,4.491
2.0,Recipe driven approach,49.8,297.98,6.4947,12.294,100,1.2306,0.1892,64176,61,4.539
2.0,Recipe driven approach,50.0,297.96,6.4909,12.285,100,1.2347,0.18912,64200,61,4.5875
2.0,Recipe driven approach,50.2,297.85,6.4883,13.577,100,1.2388,0.19199,64325,61,4.629
2.0,Recipe driven approach,50.4,298.37,6.4901,13.624,100,1.2429,0.19227,64451,61,4.6705
2.0,Recipe driven approach,50.6,298.19,6.4923,13.646,100,1.2469,0.19228,64577,61,4.7122
2.0,Recipe driven approach,50.8,298.03,6.4941,13.648,100,1.2509,0.1922,64705,61,4.7538
2.0,Recipe driven approach,51.0,297.94,6.4966,13.67,100,1.255,0.19215,64833,61,4.7954
2.0,Recipe driven approach,51.2,298.27,6.4996,13.719,100,1.259,0.19228,64961,61,4.8367
2.0,Recipe driven approach,51.4,298.18,6.5027,13.725,100,1.263,0.19222,65090,61,4.8779
2.0,Recipe driven approach,51.6,298.08,6.5066,13.753,100,1.267,0.19228,65218,61,4.9192
2.0,Recipe driven approach,51.8,298.01,6.5086,13.753,100,1.271,0.19219,65346,61,4.9606
2.0,Recipe driven approach,52.0,297.97,6.5101,13.74,100,1.275,0.19211,65473,61,5.0018
2.0,Recipe driven approach,52.2,297.94,6.508,13.614,100,1.2792,0.19174,65601,65,5.042
